name,url,review_score,review_heading,profile_contr,review_body,date_of_stay,company
Wanderer,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r931507436-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,5.0 of 5 bubbles,'Sarnath'- The site where Buddha preached his first sermon to his five disciples ,4 contributions,"Very peaceful historical site.... It's a must visit place if one is visiting Varanasi....Online tickets have to be booked using their website or by scanning the QR Code available there....Take the help of the tour guides( under Government of India)... However,  they will ask you to pay huge amount... bargaining the rate is absolutely possible... They will take you all around the site and will impart the historical facts to the best of their knowledge.... Must visit the adjacent museum as well which houses the half of Ashokan pillars.... Side note(Warning)-However,  I must mention about the fraud that is committed some 200-300mtrs away from the main Sarnath site.... So if you hire some cabs or other private transport,  they are gonna drop you off near the Sarnath monastery (which was built by some Thai King about 100 yrs ago).... There you will meet some wannabe tour guides who will literally force you to hire them at a paltry sum of Rs 100-200... Then they will take you around the monastery premises and the temple and will give you some basic info available easily on the wikipedia.... And then on the pretext of showing how Banarasi Sarees are weaved,  they will take you to the backside of a shop and will literally force you to buy Sarees from them... All these happened before we got to see the main Sarnath site.... they were trying to dupe us... When we enquired them about the Stupas and all, that bloke even had the audacity to tell us that the real Sarnath is a wastage of time...Thanks to the owner of a tea stall outside the monastery.... He told us everything about these frauds and was kind enough to guide us to the real site....Such a pathetic experience... I hope government authorities will take strict actions against these fraudsters....Other than this, I had an amazing experience at the Sarnath....",Jul-23, Family
nisaur,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r930559428-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,5.0 of 5 bubbles,An important historical place,35 contributions,"Sarnath main compound,Sarnath museum, Buddha statue and Jain tirthankar place are  places to visit at this area. First directly go to museum. Than Sarnath main complex , guide charges was very high 2000 rs here(don’t know why you may try) so we avoided hiring here. A guide followed us and showed only Buddha statue and said that’s only place and charged 100rs. He take us to some handloom shop than and vanished after taking money. So I said to directly go to museum and then ruins.It’s large compound and will take almost 2 hours. Ashoka pillar base and stupa is main thing here. Go to Jain temple than Buddha statue on last.",Dec-23, Family
jaimezcabezuelo,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r927780000-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,5.0 of 5 bubbles,Sarnath,3 contributions,"Very nice place and good driver, He explained the route to us at all times and was very kind and honest.",Nov-23, Couples
Jon E,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r927671782-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,5.0 of 5 bubbles,Peaceful area away from noise of Varanasi,79 contributions,"We visited Sarnath and found the area and sites a peaceful haven away from he hustle and bustle of a crowded, noisy and polluted Varanasi.Admission to the main Buddha Sermon site was easy.  There is no ticket office now, but if you have data on your phone, you can easily scan the QR code at the entrance and pay for your ticket online.  You can then show this on your phone to get in.The big Buddha statue garden is lovely as well as the Spiritual Wellness Gardens. The Jain temple was interesting but they did not let us into the building.To get their we hired Pappu, a great tuk tuk driver who speaks really good English and is really accommodating to your wishes. He took us to Sarnath, explained about it on the way, and then let us walk round on our own whilst he waitedHe showed us sights we didn't know about and then took us back to our hotel. He waited for nearly three hours to then take us to the station but would have taken us anywhere we wanted as he was ours for the day.I read about him on TripAdvisor and sent a message on What's App to him..and had quick replies.Highly recommendedHis number is +91 98390 67293Email pappu703@yahoo.comThanks Pappu",Nov-23, Couples
Vijaylakshmi Sewnarain,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r924874862-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,5.0 of 5 bubbles,Sarnath,17 contributions,"A must visit n Varanasi. Buddha's early days.  Our  guide , Pappu ( +91 9839067293 or pappu703@yahoo.com  ) was excellent:",Nov-23, Family
Sumitra Chowdhury,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r924610054-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,5.0 of 5 bubbles,"Pappu ji guide and car service - Sarnath, Varanasi",5 contributions,We travelled as a family with the help of Pappuji guide. He is a knowledgeable and helpful person. He helped our family travel with ease and showed us all the places that matter. 5 star service! Highly recommended! Pappu Ji's cell: +919839067293 / +918948735966 .Email : pappu703@yahoo.com,Nov-23, Family
srk-rk,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r921368268-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,5.0 of 5 bubbles,Historical site for Buddhism ,260 contributions,"An important Buddhist historical and religious site where Buddha gave his first sermon. Well maintained. We have visited the sacred tree, museum and other sites. A memorable trip. ",Aug-23, Family
Brett,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r920909374-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,5.0 of 5 bubbles,Don't miss this site!,8 contributions,It's a  wonderful Buddhist historical site where Buddha gave his first sermon. The sculptures in the museum are second to none. I highly recommend visiting here. There isn't a toilet at the ruins only at the museum. Is a very tranquil reprise from the Hindu sites in Varanasi.,Oct-23, Friends
ranjeet K,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r920494141-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,5.0 of 5 bubbles,Tranquil and serene,4 contributions,"This little town is almost in the outskirts of the city and dotted with several Buddhist temples, archaeological parks, and a very nice small museum. Karan recommended us this place, and trust me, it was a good decision. He explained to us the basics of Buddhism, and we roamed around. It was a fabulous day.",Oct-23, Couples
Subhash Jha,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r919736186-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,5.0 of 5 bubbles,Serene Tranquil - Relive Buddha Ashoka and their relics.,45 contributions,"Sarnath is a place located 10 kilometres north-east of Varanasi near the confluence of the Ganges and the Varuna rivers in Uttar Pradesh. The deer park in Sarnath is wherein, circa 528 BCE, at 35 years of age, Gautama Buddha taught his first sermon after attaining enlightenment at Bodh Gaya. Buddha mentioned Sarnath as one of the four places of pilgrimage his devout followers should visit. The attractionsChaukhandi Stupa was built as a terraced temple during 7th & 8th centuries where Buddha & his first disciples met. Govardhan, the son of Raja Todar Mal, modified the stupa to its present shape by building the octagonal tower to commemorate the visit of Humayun, the Mughal ruler.The Dhamek StupaThe Dharmarajika StupaThe Ashokan pillar The ruins of the ancient Mulagandha Kuty Vihara mark the place where the Buddha spent his first rainy season.The Dharma Chakra Jina Vihar, a massive monastery and living quarters for monksThe famous Lion Capital of Ashoka, which miraculously survived its 45-foot drop to the ground (from the top of the Ashokan pillar), and became the State Emblem of India and national symbol on the flag of India. The museum also houses the original 5th-century CE sandstone sculpture of Buddha Preaching his First Sermon, as well as the Kumaradevi inscriptionTourist attractions unrelated to Buddhism and spirituality in Sarnath include the Sarnath Deer Park and Fish Canal, and the Sarnath Turtle Breeding and Rehabilitation Centre.",Feb-23, Family
Malika S,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r918612132-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,5.0 of 5 bubbles,Sarnath with Pappu the guide,23 contributions,"The visit to Sarnath along with Varanasi was amazing. The relics of the Gupta era unearthed at this excavation site and the nearby museum by the Archeological Survey of India was amazing and at such nominal rates!! The trip was enjoyable and facilities by the versatile Mr Pappu and his autorixkshaw. He took me there and patiently drove me to all the Buddhists temples there - Japanese, Thai and Cambodian temples. Without him this would not have been possible. Pleasurable and cost efficient. Thank you Pappuji. He also took me around in Varanasi. I do plan to engage him again when I visit Bodh Gaya next year. He is reachable at His email: pappu703@yahoo.com his mobile: +91 98390067293 OR +91 8948735966. He is available on WhatsApp.",Sep-23, Solo
Traveler16080434137,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r918389116-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,4.0 of 5 bubbles, Beautiful Varanasi ,1 contribution,"Very beautiful city! Enjoyed the stay, with wonderful warm local peoples. Also the delicious food.",Sep-23, Family
WalkingPoint,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r917762533-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,5.0 of 5 bubbles,Breathtaking,401 contributions,"Thinks to consider:• The grounds by nature are very open to the sun so, bring a hat and find shade from time to time.• lots of tour guides at the gate. You can read up about the place prior to your visit and still enjoy, without that expense.• the entry fee is R250 pp but must be done online. If you are unable to do that, a local guide will do it for you on his phone (for R100 total).• A relaxed walk  with lots of picture taking usually takes 2-3 hours.• The museum is certainly worth a look (R10pp) also  - online booking!The grounds are truly stunning. Walk slowly and enjoy to the maximum",Sep-23, Business
Safari57395209483,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r917328141-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,5.0 of 5 bubbles,"Pappu, Rickshaw and Varanasi",2 contributions,"Pappu was very helpful in showing me the most iconic places in Varanasi and making sure that my stay was a pleasant one. With him you won't feel lost, and can prioritise sightseeing over priority setting when in the city. Definitely would recommend!",Sep-23, Solo
Eleanor B,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r914096044-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,5.0 of 5 bubbles,The best tour guide Pappu!!,14 contributions,We had a fantastic day in Varanasi with Pappu. He responded to my messages almost immediately when I asked him if he would be available to give us a tour for the day. He was incredibly helpful and helped us move to a different hostel before taking us around in his Tuk Tuk for the day. He showed us the key historical landmarks and showed us a number of hidden gems that we never would have seen without him. He is the best tour guide in Varanasi and we could not recommend him more. Make sure to contact him on +91 98390 67293. ,Aug-23, Friends
Raman G,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r912519164-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,5.0 of 5 bubbles,Do not miss. Even if you are not interested in history ,306 contributions,"This place is a must if in Varanasi.  To enjoy the full area you need 2 to 3 hours. We went around 11 in morning. On a Saturday.  Not crowded when we reached.  A free car parking opp the park where entry is free. This is the park where the first sermon was given to Buddha disciples. The original tree is not there any longer but a large tree is present from a new sampling planted.  Do take a guide when visiting this park.  A number of them hovering around the entrance. The guide will tell you to pay as ' you like '. This is true. The walk around is max 30 minutes. Get a history lesson from the guide and take pictures. The guides are experts to taking the best shots for you with the right angles. The guide is OK to take a Rs 100 to escort you. However,  the visit to the Archeological Survey of India excavation site and museum is a must must to understand the full history of Sarnath. The excavation site is about 100 mtr away from the park and the museum is beside this site. The excavation site is very well maintained and top class clean. Of course this August month visit was hot and humid. Carry your hat, cap or umbrella.  You must get a guide. The history is what makes the visit interesting. The entry fee for site and museum is rs 50 per head when paid online at ASI website.  In the museum camera are not allowed. Lockers are available to store camera and bag and mobiles. The museum is air contioned ( unlike the one on BHU ). This museum has more than 95% displays which have been excavated from sarnath site itself. The main attraction in museum is the original excavated Ashoka Pillar, the national emblem. We were really impressed with the knowledge of our guide for the 3 places visited, hire guide for museum as well. We would have spent nearly 3 hours for the visit. We did not visit the other stupa in a different park nearby ( we were tired now ). The guide we engaged , Mr Sanjay Singh 9648673225; 6394080981. He informed us that he has been reading Sarnath history for about 15 years now. Enjoy your visit. Winter months the ideal months to visit as there is outdoor walking. ",Aug-23, Couples
Gurus49,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r912019856-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,5.0 of 5 bubbles,Trip back in to time.,89 contributions,A splendidly serene and peaceful area that is steeped in history and culture.  It is also a stark reminder of how barbaric the invaders were who destroyed such beautiful sculptures in the name of religion.,Jan-23, Family
nba27,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r905781712-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,5.0 of 5 bubbles,Everything easy with Pappu,1 contribution,"About Pappu I knew from my friend and driver at the Dhelu Rattan.Pappy picked up us from airport Varanasi and we spent 1,5 day on Varanasi sightseeings and the next day we went to BodhGaya.With Pappu everything was easier because of India  have a lot of annoying people.Pappu was nice and friendly every time was helpful.I’m skillful tourist from Russia and have seen a lot of country’s and cities.Traveling at this region with Pappu realt help you see everything and be in a comfort.",Jul-23, Family
globetrotter55,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r888560332-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,4.0 of 5 bubbles,following the footsteps of Buddha,"2,950 contributions","Sarnath, one of the four sacred places of Buddhism huge remains, huge stupa, pillars, and walls, from Ashoka, from Gupta period, of a monastery functional till the Islamic period2300 years old history, really impressive ",Apr-23, Friends
Hema Singh,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r888188947-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,5.0 of 5 bubbles,"Very Peaceful place, Light & Sound Show must watch",4 contributions,The vibe of the place is Peace and serenity.The light and sound show held at the Dhamek Stupa is a must watch.,Apr-23, 
Raahi From Up79,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r887621062-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,5.0 of 5 bubbles,A very peaceful place away from the hustle and bustle of the world.,1 contribution,"Sarnath is a place located 10 kilometres north-east of Varanasi near the confluence of the Ganges and the Varuna rivers in Uttar Pradesh, India. The deer park inSarnath is where Gautama Buddha first taught the Dhamma, and where the Buddhist Sangha came into existence through the enlightenment of Kondanna.",Apr-23, Family
colin h,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r886753854-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,4.0 of 5 bubbles,Interesting place to understand Buddism,68 contributions,"Sarnarth was where Buddha delivered his first sermon.  By visiting (with a guide) I learnt much about Buddha (the person), Buddism and the part this site (and India) played in this religion, all of which I found very interesting.  Without a guide or a guide book you will not understand much as there are very few information boards.  The site itself is 2 complete buildings (one associated with Buddha, the other with Jainism.  The rest of the site is the ruins (and really only the foundations) of earlier temples.  As a visitor attraction, it does not have the same impact as the Taj Mahal or other palaces, forts and religious sites.  Nevertheless it is a fascinating place to go to.  We went on a hot morning and an hour was more than enough to walk to site - it is open with limited shade so be prepared with hats, umbrellas, cream and water.",Apr-23, Couples
Sandeep A,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r885642021-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,3.0 of 5 bubbles,Not much exciting,14 contributions,"It is far away place (10 km) from Banaras. In chilling sun, it is difficult to visit this place. Not much to do here. Will like to skip it next time. For me, Ganga bathing and visiting temples is more than enough.",Apr-23, 
DipakJivnani,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r885258463-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,4.0 of 5 bubbles,Afternoon visit of Sarnath for Light n Sound Show,94 contributions,We visited in late afternoon and went for light n sound show at Dhamek Stupa. We were late to visit the museum as it close at 5 PM. Laser show on stupa is good for family to get a short insight into Lord Buddha's early life.  The lawns and remains of meditation facilities are well maintained. Overall a must visit place when at Varanasi.,Mar-23, 
Abha K,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r884358800-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,5.0 of 5 bubbles,Good site seeing and shopping at Lakshal,15 contributions,Went there in month of March. Great place to spend half a day. Visited the main temple and the Dhamek Stupa. Visited Lakshal store on the town square. Great shopping there.To get to Sarnath we went with out tour guide Pappuji mob.9839067293. He's a very good guide. Punctual and caring. Went out of his way to make our trip a great success. Would recommend if you travel with senior citizens and children.,Mar-23, 
Heather G,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r883987389-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,5.0 of 5 bubbles,Great Varanasi guide,6 contributions,"Papu was a lovely host - very friendly and extremely knowledgeable. He was able to guide us through the streets of Varanasi by car, tuk tuk and on foot. We felt very safe and reassured that he was with us. He also shared his book of stories with us - would recommend to any traveler :-)",Mar-23, Friends
Olivia C,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r883987385-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,5.0 of 5 bubbles,Pappu is a hero,10 contributions,We loved Pappu. He drives around like a total hero and has a black belt in navigating a tuk tuk. We felt very safe with him.He’s super knowledgeable about Varanassi too and took us everywhere we wanted to go. All round 5 star rating. :),Mar-23, Friends
Dennis P,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r883582232-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,4.0 of 5 bubbles,Peaceful and very meaningful to the Hindu faith,"2,107 contributions","Sarnath (Hindustani pronunciation: [saːɾnaːtʰ], also referred to as Sarangnath, Isipatana, Rishipattana, Migadaya, or Mrigadava)[1] is a place located 10 kilometres (6.2 miles) northeast of Varanasi, near the confluence of the Ganges and the Varuna rivers in Uttar Pradesh, India.The entire area is a remarkable archealogical site.More important to the Hindu religion is that around 535 BCE Budda gave his first sermon",Feb-23, 
two201,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r883465363-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,4.0 of 5 bubbles,Overall nice experience,20 contributions,"Visit to Buddha park was memorable, quite and clean place. Guide too was polite and was helpful, in explaining.Museum too is good but the ticketing system need improvement and toilets too need more cleaning,Stupas are worth visiting.",Mar-23, 
RC16,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r882750462-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,3.0 of 5 bubbles,A “Can be a great” experience,8 contributions,"Leaves much to expectation… i mean they could or may be still can do a lot with this space but alas… so much chaos… under construction roads, crazy rickshaws, under prepared ticketings…. Whoof… it takes the whole soul out of the outstanding experience that it could have provided…Wake up guys..",Mar-23, Family
