name,url,review_score,review_heading,profile_contr,review_body,date_of_stay,company
colin h,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r886750598-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Worthwhile sunset river cruise,68 contributions,"We took a Ganges River cruise at Varanasi.  We had one of the bigger boats (2 decks) giving good views from higher up than many of the available boats.  The cruise was timed to see the worship beside the river that happens everyday at sunset.  The 15 minutes or so from the set off point to the ceremony area enabled you to see life beside the river from pilgrims bathing to the ceremation area.  Boat protocol is chaotic on the water as it is with cars on Indian roads.  Dozens, if not several hundred, boats converge to watch the ceremony from afloat and all crush together - an experience in itself.  Sunset, the River and ceremony all combine to make it an unforgettable experience.  I would recommend the larger boats with a top deck - although further away you maintain a good view at all times during the ceremony.  You will need plenty of insect spray - as the sun goes down so the insects emerge and without a good spray you will be bitten.",Apr 2023 , Couples
Sandeep A,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r885640532-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Mother Ganga,14 contributions,"It is always a dream to visit Maa Ganga. I advise people to visit ghats other than dashashwamedh ghat to avoid moving on foot for long distance. Government should make proper Changing rooms in plenty (on chargeable basis). Also, river must be cleaned further.",Apr 2023, 
Abha K,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r884358305-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Beautiful and timeless. Must visit once in a lifetime.,15 contributions,"We went to Varanasi and Sarnath in March 2023. Great site seeing. Varanasi guide Pappuji took us there. He's extremely punctual, efficient and caring. We had Senior citizens and kids with us. He took us siteseeing himself. We were able to attend Ganga aarti and Kashi Vishwanath Darshan very comfortable because of him.He has great local knowledge as he's being doing this work for over 30 years.Took us to the best places for food, Lassi and even Art galleries.Would highly recommend him.He is available on phone +919839067293",Mar 2023, 
Ratan,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r883904715-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Evening Ganga Aarti Boat ride not so Pleasant,3 contributions,"The Boat ride on the ghats of the holy ganga river is absolutely not  what i had come to expect after reading other reviews. First of all, I am surprised that kashi being a place where mainly senior citizens visit,  does not have  a single ghat which is accessible by wheel chair.  The newest Ghat Ramghat has a ramp but was closed.  The boat dock is a good 60 to 70 steps down. Next thing the boat operator takes you for the 30 min ride parallel to the ghats with out caring to explain the importance or history of any of the ghat. Most boats are motor boats which is so noisy, it just spoils the serenity of the holy ganges. Near the end of the ride arnd 6.30 pm, the boat operator steers the boat near to the ghats where evening Ganga Aarti is being performed, There are already about a 100 other boats and many more coming next jostling for space. Our boat guy managed to find space and we were about 6 to 7 rows of boats from the ghats. Now there are 2 groups of people in the Ghats who are performing evening aarti in the ghats and we were in the middle, so we are like listening to aarti, dhol and the chanting from both sides which is not is sync and chaotic. Then there are vendors who are selling tea and water and what not jumping from boat to boat.  All in all not at all a pleasant experience  for me unlike as mentioned in other reviews.",Mar 2023, 
Dennis P,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r883609750-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,FASCINATING SCENERY FROM THE GANGES,"2,107 contributions","The River itse;lf is extremely important to the Hindu religion, but as a specticle it is just so so.It is the scences along the river bank, and the vatrious Ghats which make a boat btrip on the Ganges the specticle that it is. Fron ritual bathing to nearby cremations the banks are full of inetrest and colour.To take another boat ride in the evening presents  even more spectacular sights along the bankThe river ride is slow and peaceful.Certainly worth a visit and a ride on this holy of holy rivers",Feb 2023, 
Kaz W,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r879528902-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Another world,158 contributions,"What great timing, we arrived in time to see the festival of mothers. Wow what an experience, the river was still quite high so not as many steps from the ghats were visible. We took a boat on the Ganges to see the festival from the river and what a sight, so many people and an explosion of colour. We also saw a family funeral taking place and it was so peaceful, not as upsetting as I thought it would be.We also saw the evening worship ceremony take place up high on one of the rooftops. Again the atmosphere, colours and sights were out of this world. I'm sure there are still more things to see, so we will be returning again one day",Nov 2022 , Couples
Agni1,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r877944161-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Varanasi is dead,212 contributions,"But what has become of Varanasi? Walt Disney on Ganges? Bholywood on Ganga? The (admittedly) clean ghats are now dominated by commerce. Pizza pujas everywhere, an orgy of neon tubes that ship the insatiable tourists, from countless tents on the other side of the river and from there a dull disco music roars. And Aarti? a bunch of disguised Brahmins waving their fire torches in all directions without rhyme or reason in a choreography of a boolywood wannabe performer!I have often been alone on a boat in a long gone past, in the middle of the still and quiet night, admiring the stars and fully feeling the magic of Varanasi. Where has she gone? Now big passenger ships will cruise to Bangla Desh, balloons will show people Varanasi from above, as if Ganga would be nicer from above than sitting at Tulsi Ghat and meditating.",Jan 2023, 
Rohit Sahani,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r877879449-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,The Ganges: A Cultural and Spiritual Heartbeat of India's,48 contributions,"The Ganges River is a magnificent and sacred body of water that runs through the heart of India. As someone who was born and raised in Varanasi, I have a special connection to this river. The Ganges is not just a water source but also a source of life, culture, and spirituality for millions of people. The river is considered holy by Hindus and is used for religious rituals, bathing, and cremation ceremonies.Growing up in Varanasi, the rich cultural and spiritual heritage of the Ganges has surrounded me. I have witnessed the beautiful and colourful aartis (prayer ceremonies) performed in the evening, the peaceful boat rides down the river, and the bustling energy of the markets along the ghats. The Ganges is also a source of livelihood for many people in the region, including fishermen, flower sellers, boatmen, local photographers and many small businesses that rely on the river for their daily bread.In conclusion, the Ganges River is not just a body of water, but it is a symbol of India's rich cultural and spiritual heritage. As someone who was born and raised in Varanasi, I am grateful to have such a close connection to this magnificent river and will always hold it close to my heart.",Nov 2022, 
Saravanan G,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r877278704-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Holy Place,166 contributions,Wonderful experience and in chilling weather (January 2023). Taken Holybath @ 2:00 AM for 3:00 AM Mangala Aarathi. Such a Divine Place.,Jan 2023 , Friends
Fanoos K,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r876960992-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Holy river,10 contributions,The place was one of the dirtiest someone can imagine but then you see things you won’t see anywhere else in the world! The body burn rituals!,Jan 2023 , Solo
seema60,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r876247668-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Beautiful view of the great river,947 contributions,"Walking along the ghats and experiencing the view of the river Ganga early morning and evening is the highlight of the trip to Varanasi. The river Ganga at Varanasi evokes a whole host of emotions recalling the various stories one has heard growing up about the river. While not pristine as it is in the Himalayas, it’s still beautiful at Varanasi.",Jan 2023 , Friends
Sandeep,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r872920037-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Soul of Varanasi - Ganga,5 contributions,No traveler would have ever visited Kashi without visiting the mighty Ganga. The long the best experience is Varanasi is an early morning walk along the river before sunrise.,Dec 2022, 
karansingh,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r872184479-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Stunning views!,80 contributions,"if you are coming to Varanasi, you can't miss Ganges River ghats enjoy the beautiful ghats of Kashi, A unique experience",Dec 2022, 
Kumar,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r870374650-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Delightful and unforgetful,5 contributions,"We went for an evening boat ride on the Ganges river in Varanasi in Novembre 2022.The sight of all the ghats and heritage buildings is a sight to remember,  . Our guide Vivek had made all the arrangements for thr boat cruise in a motor boat as well as the evening  Aarti at Dasashwamedh Ghat. The Aarti and the boat cruise was the highlight of our visit to varanasi. It is a must do when you visit Varanasi.",Nov 2022, 
Dwarak Naidu,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r866261783-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,ALAKNANDA CRUISE,22 contributions,Rich History of the Ghats/areas we passed during the cruise being announced over the boat's PA system.....very informative,Oct 2022, 
Sudha2410,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r863974526-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Divine,492 contributions,What do you say about Ganga ma who flows through the oldest living city Kashi? It is beautiful. Going to the many ghats give you different experiences. Seeing the various ghats and taking boat rides are blissful.,Oct 2022 , Family
Lekshmanan T S,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r862190087-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Ganga experience,2 contributions,"My first experience of Ganga was filled with sanctity. Had been to Prayag.Having heard a lot about 'Clean Ganga' I was also very apprehensive about taking the Holy dip. Thankfully the experience of a lifetime was truly pleasant. Viewing the ghats from a boat in the river was quite satisfying, especially Manikarnika Ghat. Hope soon the other major ghats like Dasaswamedh ghat will also get the facelift needed.A lot of cleaning still needs to be done as also prevention of filth getting into the river system",Sept 2022, 
Nijoe J,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r847136967-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,The Holy Ganges a lifetime must visit!,14 contributions,"Our first sighting of the Ganges was when we were cautiously descending the stairs of one of the ghats being guided by Gaurav of the Varanasi Ganga Tours. Between taking care of your personal belongings and caring for our two little children, the sight of the Ganga was magnificent and mesmerizing. The Boat Tour that followed and the stories and philosophies of each Ghat made one truly think of existence and purpose. The highlight was the Ganga Aarti which is by all descriptions- Magestic! A well worth spend of time and thought. ",Jul 2022 , Family
Axell33,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r845474056-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Magical river,836 contributions,We visited the Ganges in three different cities but Varanasi was by far the best.  We did a number of trips up and down the river taking in all the sights and culture.  We enjoy attending Aarti whilst on the river which was an experience you won’t find in many places in the world.  If your in Varanasi definitely do at least one trip on the river and you have a wonderful view of the city.,Jun 2022, 
Aastha,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r844877885-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Relax and calm,8 contributions,As most of the rivers Ganga river will also give you a sense of calmness and will make you feel relax.,Jun 2022, 
Bellab F,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r844854523-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,The most filthy water way in the world!,3 contributions,I was shocked to see a river that is so treasured and worshiped as disgusting as it could ever get! I imagine up further where it begins would be a lot better but what I saw was a total disgrace! Human and animal waste was everywhere and the amount of rubbish was unbelievable! I even saw a dead bloated body float past! I can not believe anyone worships this river at all or they just don’t care! I couldn’t even take a deep breath with the stench!,Jan 2022, 
KCn2487,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r842797164-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Great,95 contributions,"What can be said here, its is as serene as it can get and just uniquely calming. Ganga is just beautiful",Dec 2021, 
AMIT S,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r840468465-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,cool and calm,140 contributions,must visit place in varanasi. cool and clam place. can be visited alone or with family or with kids.,Nov 2021, 
John D,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r839764346-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Tragic Visuals,"1,043 contributions","The iconic Ganges...the filthy Ganges. Exciting and depressing to see. The activity on both banks and on the water, day and night are something to behold. A late night stroll when it is quiet and mostly empty is special. Locals clean up all the trash, feces, and other detritus on Sunday - so if you arrive Saturday...brace yourself!",May 2022 , Couples
RAJENDRA884 PRASAD,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r838544814-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Not a pleasant experience for me,"3,289 contributions",I visited Varanasi with a friend and went to river Ganges but could not dare get near as the filth all around was stinking bad. I wish if the administration takes action against those who litter this holy place. ,May 2022 , Friends
Abha Agrawal,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r834998646-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,The mystic Ganges,4 contributions,If possible take a ride on  the Alaknanda Cruise.  Will definitely like it as we did. Worth the money spend,Apr 2022 , Family
Travel Enthusiast,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r834359629-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Amazing!!!,52 contributions,Boat ride was excellent. Starting from Dasawamedh ghat to Assi ghat. Also paid a visit to the akhadas at Tulsi ghat. A must do especially in the early morning hours before sunrise.,Mar 2022, 
BPB2012,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r833700539-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Holiest of holy river of India,"1,101 contributions","During our visit to the city recently, my wife and I had a ride over the river in a steamer and the same was an exciting experience seeing various ghats and temples. My wife also had a bath in the river. Although the season was extremely hot, cool breeze over the river made our steamer ride quite pleasant.",Apr 2022, 
Film G,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r833369520-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Impossible to Miss: Take a Boat Ride,"1,001 contributions","Impossible to miss, the Ganges is the heart of the city. Lined with Ghats (steps down to the river) be sure to see the Ganga Aati — the worship of the river and the gods. At night it’s a massive affair. Best seen from a boat. You’ll also get to witness the many cremations done on the riverbank. Yup.",Apr 2022 , Couples
Rupa,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r830235729-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,The holy river Ganga,119 contributions,"The view of river Ganga and the boat ride to get the glimpses of all the major ghats in Varanasi is simply inexpressible. You just cannot describe it but feel, a lifetime experience!",Oct 2021, 
Chandrakant Apte,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r829704095-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Excellent place,214 contributions,The Ganges are very nice during the Ganga Aarti and for a sunrise boat ride. The Ganges have been cleaned very well and all the Ghats are connected,Feb 2022, 
concepts,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r829423399-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,nice and clean,91 contributions,a must vist place. very calm and peacefull. nicely maintained and clean. a must vist when in varanasi,Feb 2022, 
amod d,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r828722405-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,A panaromic view,61 contributions,Boat ride with a panaromic view of Ganges as well the ghats . Best time is early morning or late evening. Will suggest  to avoid motor boats and stick to row boats. A tour normally takes 700-1000 indian rs but you may to like Tip the boat man as they are very helpful.,Jan 2022, 
busybrr,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r828706227-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,"Temple visits, river boat rides, ganga aarti, shopping",3 contributions,"Great place for sanatanis, a must visit to the oldest continuously living city on earth. Ma ganga mata ki jai. Choose excellent local guide like Anoop Chaturvedi who will safely and reliably show you around",Jan 2022, 
stroller,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r825934245-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Varanasi,19 contributions,"The sacred river carry much value to Hindu. Just touching the water bring much joy to lord Shiva and Ma Ganges. For non Hindu, spending time on a boat looking around in the morning is quite pleasant",Feb 2021 , Friends
Dinesh,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r824519581-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,It is the Ganga!,58 contributions,"A boat ride in the river in the morning and also in the evening is magical. The water is now clean, the river is mighty. The view of the ghats from the river, enchanting.",Dec 2021, 
Sushil Kumar Khanna,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r821880068-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Very satisfying and enjoyable trip,4 contributions,Have a boat ride covering all the ghats of Ganga river and must see the Ganga Arti in the evening. Preferably stay at one of the haveli's on the bank of Ganga to really enjoy the sunrise and oter activities happenings.,Dec 2021 , Couples
VaidyaVikrant,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r821068611-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Ganga is ganga Its has Vibrations of Universe,298 contributions,Ganga River is one of the Most Religious river which has its own soul to Bless you all the time.It may reveals Water river but Ganga is uNique in its Place giving Vibrations Of Purity embracing mind and soul,Nov 2021, 
Ananth 727499,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r820206246-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Silence could only be the words to explain the experience,"1,336 contributions","This is really a gift to be here with family and intake the real beauty and observe the greatness of Ganges.During the morning time (around 8-10), of you happen to get a chance, do go for a boat ride..You could see numberous birds flying here and there and circling out boats..Neatly maintained and really much effort is taken by the government to keep the ghats clean and good.For boat ride ( motor boat) the cost will be around 1500-2000 for about 1 hour..It varies depending upon the season and rush..During Dev Diwali timings, the cost would go to peak (around 7000-10000)..Divine experience and in explainable feeeling..No words to express..If you happen to visit here and see the great Ganges, then do understand just one thing ""YOUR LIFE IS BLESSED""",Nov 2021 , Family
Nari j,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r817733748-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Eye catching,2 contributions,you can feel a vibration in you on ganga when you worship and whole heartdly Ganga Arthi was mind blowing,Oct 2021 , Family
Raghuram,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r817254067-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Mind opening experience.,4 contributions,"Did both the evening and sunrise boat rides, each very different. Hard to put in words - only to be experienced and each one will feel different.",Oct 2021, 
Gautam C,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r816968858-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Ganga Aarati,9 contributions,"The Ganga Aarti  done in the evening in Dasashamedha ghat , Assi ghat etc are excellant . we can take a boat ride in ganges , and we can enjoy the ganga aarti  during evening",Oct 2021, 
arjunajb,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r815755951-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Visit the Ganga at Varanasi,376 contributions,"Very thrilled to see the clean and unpolluted Ganga, tidy ghats, beautifully lit, early morning dip, evening cruise or boat ride and life is fulfilled",Oct 2021 , Friends
SHAILESH M,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r814679907-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Serene & peaceful,52 contributions,"To get a great experience take a morning boat ride & watch the sunrise on the fast flowing river. It’s also a solemn experience to watch the evening Arti performed on the river bank . To avoid the crowds assembled on the banks , it is best to experience it from the upper deck of the Alaknanda cruise  ship .This is an air conditioned  vessel with a seating capacity of 60. Booking is to be done online in advance @ 900/- per person for the evening cruise. Very clean boat with clean bio toilets . They also serve complementary coffee & biscuits.",Oct 2021 , Couples
debparamita,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r810122375-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,The Great Holy Ganga,26 contributions,"Take a row boat and move up the river. Best at twilight. The Ghats look great from the river. The ""aarati"" at Dasheshwamedh Ghat is something not to be missed. More information on Papumashi the Nomad -----The Great Gangetic Plain and The Kumbh Mela.",Jan 2021, 
DrKanishkMarkam,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r785512924-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,"It's not about the view, it's about the feeling",23 contributions,Visit any of the 40 ghats of varanasi to experience the banks of holy Ganges. Boat rides are ample & opportunity to take a dip should not be missed. Try visiting in March April to take the benefit of better weather conditions. ,Mar 2021 , Friends
Dr.M.Rameshwaran,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r784003338-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,I feel good energy lord shiva ,153 contributions,"Kashi Vishwanath MandirSituated on the western banks of the River Ganga, Kashi Vishwanath Mandir is one of the 12 holiest jyotirlingas or sacred centers of Shiva worship across India. This significant Varanasi Shiva temple even finds mention in the holy Puranas.I feel good energy lord shiva City not clean You can stay 5*****hotel good for your health Please take the guide Following himDon’t give me too much money See you again ",Mar 2021 , Family
Abhishek B,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r783290705-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Mesmerising Ganga,63 contributions,"Ganga Maiyya! In Varanasi , the river a bit steady and slow moving. Both the evening Aarti and the sunrise are total must to experience the river. It’s truly divine. Just being there is meditative, takes you very deep in thoughts. The ghats, the people and their stories just adds more charm. Highly recommend boat ride during sunrise",Feb 2021 , Friends
Jayvijay Sachan,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r781748840-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Assi Ghat ,10 contributions,"A lot can be said about the Assi Ghat, but those will only be words. Its a must visit place.Their is so much of solitude at the Assi Ghat. It offers a amazing view of the Ganga ji and one must visit this place not for the spiritual significance but for the quaint aspect of Banaras.",Jan 2021, 
cp_0010,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r780378013-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Very sacred,"1,499 contributions","Ganga river is one of the most sacred rivers among Hindus in India. Ganga river originates from Gangotri in the north of India where it is named Bhagirathi after King Bhagirath who is known for bringing Ganga down on earth by worshipping and Ganga meets sea at Gangasagar near Kolkata in West Bengal. During this journey, it purifies millions of people who take bath in its holy water.Ganga flows through Varanasi as well and there are 84 ghats along side. People do take this wonderful opportunity to take bath in the holy water and purify them. An arti is peformed in the evening which is worth watching. We did a boat ride in the early morning to take a breathtaking view of Benaras ghats. The rates of boats are negotiable, for safety it is advisable to book through hotel and if you are in big group then you may take a boat directly.",Feb 2020, 
